legislative_body,bill_number,status,status_date,title,description
NY,A00968,Signed,2023-03-03,Restricts the use of funds received from the minority and women-owned business development and lending program for the purpose of refinancing existing commercial or business related debt.,Restricts the use of funds received from the minority and women-owned business development and lending program for the purpose of refinancing existing commercial or business related debt.
NY,A00969,Signed,2023-03-03,Relates to the amount of damages recoverable in a cause of action for unlawful interference with protected rights which is up to three times the amount of compensatory damages.,Relates to the amount of damages recoverable in a cause of action for unlawful interference with protected rights which is up to three times the amount of compensatory damages.
NY,A00970,Signed,2023-03-03,Provides for oversight of the use of mandatory overtime during an emergency.,Provides for oversight of the use of mandatory overtime during an emergency.
NY,A00971,Signed,2023-03-03,Requires when delivery is made of liquefied petroleum gas in times of emergency the temporary emergency supplier shall provide written information to the regular supplier; prohibits removing or filling liquefied petroleum gas without consent of the owner.,Requires when delivery is made of liquefied petroleum gas in times of emergency the temporary emergency supplier shall provide written information to the regular supplier; prohibits removing or filling liquefied petroleum gas without consent of the owner.
NY,A00973,Signed,2023-03-03,Requires space for donate life registration in the initial process setting up an online member service portal with an insurer.,Requires space for donate life registration in the initial process setting up an online member service portal with an insurer.
NY,A00975,Signed,2023-03-03,Provides for the offense of unlawful dissemination of a personal image and a private right of action for such offense.,Provides for the offense of unlawful dissemination of a personal image and a private right of action for such offense.
NY,A00976,Signed,2023-03-03,Relates to the establishment of the statewide electronic tracking system for evidence collection kits used to collect and preserve evidence of a sexual assault or other sex offense that are submitted to the custody of law enforcement; relates to the effectiveness of such provisions.,Relates to the establishment of the statewide electronic tracking system for evidence collection kits used to collect and preserve evidence of a sexual assault or other sex offense that are submitted to the custody of law enforcement; relates to the effectiveness of such provisions.
NY,A00977,Signed,2023-03-03,Relates to notice procedures prior to approval of projects by industrial development agencies; includes electronic correspondence with read-receipts.,Relates to notice procedures prior to approval of projects by industrial development agencies; includes electronic correspondence with read-receipts.
NY,A00978,Signed,2023-03-03,"Requires gas corporations to file annual gas safety reports; authorizes the public service commission to order reasonable improvements to promote public interest, preserve public health and protect those using gas when there is a deficiency in a gas corporation's prioritization or administration of its pipeline replacement projects or operation and maintenance activities related to gas safety.","Requires gas corporations to file annual gas safety reports; authorizes the public service commission to order reasonable improvements to promote public interest, preserve public health and protect those using gas when there is a deficiency in a gas corporation's prioritization or administration of its pipeline replacement projects or operation and maintenance activities related to gas safety."
NY,A00979,Signed,2023-03-03,"Clarifies provisions related to the creation, operation, and duties of natural organic reduction facilities as cemetery corporations.","Clarifies provisions related to the creation, operation, and duties of natural organic reduction facilities as cemetery corporations."
NY,A00981,Signed,2023-03-03,"Allows reasonable rental fees to be charged by a retail pet shop for showcasing dogs, cats, or rabbits for adoption; adjusts the effectiveness of the prohibition of the sale of dogs, cats and rabbits from pet shops.","Allows reasonable rental fees to be charged by a retail pet shop for showcasing dogs, cats, or rabbits for adoption; adjusts the effectiveness of the prohibition of the sale of dogs, cats and rabbits from pet shops."
NY,A00983,Signed,2023-03-03,Amends the tenant dignity and safe housing act relating to special proceedings for judgment directing repairs of conditions and other relief in residential real property to limit jurisdiction; provides that proceedings may be maintained against any respondent with a legal obligation to maintain the property.,Amends the tenant dignity and safe housing act relating to special proceedings for judgment directing repairs of conditions and other relief in residential real property to limit jurisdiction; provides that proceedings may be maintained against any respondent with a legal obligation to maintain the property.
NY,A00986,Signed,2023-03-03,"Relates to the restoration of electric power services during a widespread outage; requires electric corporations and the Long Island power authority service provider during a widespread prolonged outage that affects at least twenty thousand customers to notify the village, town or city if certain electric power services are not able to be restored; requires the chief executive to coordinate with affected police departments, fire departments, ambulance services and advanced life support first response services prewired with an appropriate transfer switch for using an alternate generated power source for the emergency deployment of alternate generated power sources.","Relates to the restoration of electric power services during a widespread outage; requires electric corporations and the Long Island power authority service provider during a widespread prolonged outage that affects at least twenty thousand customers to notify the village, town or city if certain electric power services are not able to be restored; requires the chief executive to coordinate with affected police departments, fire departments, ambulance services and advanced life support first response services prewired with an appropriate transfer switch for using an alternate generated power source for the emergency deployment of alternate generated power sources."
NY,A00987,Signed,2023-03-03,Removes requirements that require any medical equipment or equipment necessary for an individual whose diagnosis is likely to be significantly triggered or significantly exacerbated by a continued loss of power that will adversely impact that individual's health; removes such requirements from an emergency response plan.,Removes requirements that require any medical equipment or equipment necessary for an individual whose diagnosis is likely to be significantly triggered or significantly exacerbated by a continued loss of power that will adversely impact that individual's health; removes such requirements from an emergency response plan.
NY,A00988,Signed,2023-03-03,Repeals provisions relating to prescription digital therapeutics which are software-based disease treatments.,Repeals provisions relating to prescription digital therapeutics which are software-based disease treatments.
NY,A00989,Signed,2023-03-03,Relates to minority and women-owned business enterprise fraud and the monies of the minority and women-owned business enterprise fund; and to the effectiveness of certain provisions related thereto.,Relates to minority and women-owned business enterprise fraud and the monies of the minority and women-owned business enterprise fund; and to the effectiveness of certain provisions related thereto.
NY,A00997,Signed,2023-03-03,"Limits availability and coverage for non-invasive prenatal testing for Medicaid patients based on age if such limits are recommended by the United States food and drug administration, the centers for Medicare and Medicaid services, or the United States department of health and human services.","Limits availability and coverage for non-invasive prenatal testing for Medicaid patients based on age if such limits are recommended by the United States food and drug administration, the centers for Medicare and Medicaid services, or the United States department of health and human services."
NY,A00998,Signed,2023-03-03,"Clarifies the process for the release of individuals from utility, phone and television contracts in instances of domestic violence; changes the effectiveness of the provisions to June 30, 2023.","Clarifies the process for the release of individuals from utility, phone and television contracts in instances of domestic violence; changes the effectiveness of the provisions to June 30, 2023."
NY,A01000,Signed,2023-03-03,Makes clarifications to the provisions of the warehouse worker protection act.,Makes clarifications to the provisions of the warehouse worker protection act.
NY,A01003,Signed,2023-01-27,Implements certain collective bargaining agreements relating to terms and conditions of employment of certain nonjudicial officers and employees of the unified court system.,Implements certain collective bargaining agreements relating to terms and conditions of employment of certain nonjudicial officers and employees of the unified court system.
NY,A01004,Signed,2023-03-03,Relates to members of transportation authorities; provides that any local or statewide transit advocacy organization may recommend one or more transit dependent individuals to be considered; makes related provisions.,Relates to members of transportation authorities; provides that any local or statewide transit advocacy organization may recommend one or more transit dependent individuals to be considered; makes related provisions.
NY,A01007,Signed,2023-03-03,Makes clarifying changes regarding the authorization for the Bellmore Fire District to file an application for exemption from real property taxes.,Makes clarifying changes regarding the authorization for the Bellmore Fire District to file an application for exemption from real property taxes.
NY,A01008,Signed,2023-03-03,Requires the approval by the Nassau county legislature for the assessor of the county of Nassau to then accept from the Mineola Union Free School District an application for exemption from real property taxes.,Requires the approval by the Nassau county legislature for the assessor of the county of Nassau to then accept from the Mineola Union Free School District an application for exemption from real property taxes.
NY,A01009,Signed,2023-03-03,Requires the consumer protection division to establish a model notice of potential scams when selling gift cards.,Requires the consumer protection division to establish a model notice of potential scams when selling gift cards.
NY,A01010,Signed,2024-11-25,"Makes it illegal to knowingly alter, mutilate, destroy, obliterate, obstruct or remove by means of a price sticker or otherwise the whole or any part of the label, including where applicable the expiration date displayed thereon, of any over-the-counter drug or cosmetic.","Makes it illegal to knowingly alter, mutilate, destroy, obliterate, obstruct or remove by means of a price sticker or otherwise the whole or any part of the label, including where applicable the expiration date displayed thereon, of any over-the-counter drug or cosmetic."
NY,A01025,Signed,2023-09-15,Prohibits the sale of tobacco products at vending stands or in vending machines in state buildings.,Prohibits the sale of tobacco products at vending stands or in vending machines in state buildings.
NY,A01029,Signed,2023-11-16,"Provides for automatic sealing of certain convictions after a certain passage of time from either imposition of sentence, release from parole or probation, and if the defendant does not have a current charge pending; excludes certain offenses; permits access by certain persons.","Provides for automatic sealing of certain convictions after a certain passage of time from either imposition of sentence, release from parole or probation, and if the defendant does not have a current charge pending; excludes certain offenses; permits access by certain persons."
NY,A01060,Signed,2023-05-02,Relates to the dispensing of self-administered hormonal contraceptives; authorizes a licensed physician and a certified nurse practitioner to prescribe and order a non-patient specific order to a pharmacist licensed and located in the state for the dispensing of self-administered hormonal contraceptives.,Relates to the dispensing of self-administered hormonal contraceptives; authorizes a licensed physician and a certified nurse practitioner to prescribe and order a non-patient specific order to a pharmacist licensed and located in the state for the dispensing of self-administered hormonal contraceptives.
NY,A01118,Signed,2024-10-01,Requires all advertisements for gambling and sports betting to include warnings about potential harmful and addictive effects of gambling; requires the state gaming commission to cooperate with the commissioner of addiction services and supports to ensure that all advertisements for gaming activity state a problem gambling hotline number.,Requires all advertisements for gambling and sports betting to include warnings about potential harmful and addictive effects of gambling; requires the state gaming commission to cooperate with the commissioner of addiction services and supports to ensure that all advertisements for gaming activity state a problem gambling hotline number.
NY,A01120,Signed,2023-09-06,Relates to developing and implementing programs to prevent workplace violence in public schools.,Relates to developing and implementing programs to prevent workplace violence in public schools.
NY,A01142,Signed,2023-06-25,Requires the use of gender-neutral terms in law.,Requires the use of gender-neutral terms in law.
NY,A01153,Signed,2023-10-25,Relates to unregistered and unlicensed mortgage brokers; establishes additional penalties against unlicensed or unregistered persons or entities engaging in activities after receiving a cease and desist notice.,Relates to unregistered and unlicensed mortgage brokers; establishes additional penalties against unlicensed or unregistered persons or entities engaging in activities after receiving a cease and desist notice.
NY,A01177,Signed,2023-09-20,"Relates to ballots submitted in envelopes that are sealed with tape, paste or any other binding agent or device and have no indication of tampering.","Relates to ballots submitted in envelopes that are sealed with tape, paste or any other binding agent or device and have no indication of tampering."
NY,A01204,Signed,2024-09-27,Authorizes treatment of workers' compensation injuries by an occupational therapy assistant and a physical therapy assistant; directs certain records to be retained.,Authorizes treatment of workers' compensation injuries by an occupational therapy assistant and a physical therapy assistant; directs certain records to be retained.
NY,A01261,Signed,2023-10-25,Authorizes the county of Cortland to impose a tax of one dollar per five hundred dollars on real estate transfers.,Authorizes the county of Cortland to impose a tax of one dollar per five hundred dollars on real estate transfers.
NY,A01285,Signed,2023-03-03,"Relates to the sale of digital electronic equipment manufactured and first sold or used in New York on or after July 1, 2023; requires original equipment manufacturers to provide diagnostic and repair information; authorizes original equipment manufacturers to establish reasonable training and certification programs for independent repair providers and to offer parts to independent repair providers or owners with other parts where the individual components may pose a heightened safety risk; relates to the effectiveness thereof.","Relates to the sale of digital electronic equipment manufactured and first sold or used in New York on or after July 1, 2023; requires original equipment manufacturers to provide diagnostic and repair information; authorizes original equipment manufacturers to establish reasonable training and certification programs for independent repair providers and to offer parts to independent repair providers or owners with other parts where the individual components may pose a heightened safety risk; relates to the effectiveness thereof."
NY,A01286,Signed,2023-03-03,Relates to minimizing disproportionate impacts of environmental facility siting on disadvantaged communities.,Relates to minimizing disproportionate impacts of environmental facility siting on disadvantaged communities.
NY,A01297,Signed,2023-10-25,"Requires hospitals to adopt, implement and periodically update standard protocols for the management of fetal demise.","Requires hospitals to adopt, implement and periodically update standard protocols for the management of fetal demise."
NY,A01303,Passed,2024-12-02,Prohibits requiring parents or caretakers to earn a minimum wage to be eligible for child care assistance.,Prohibits requiring parents or caretakers to earn a minimum wage to be eligible for child care assistance.
NY,A01313,Signed,2023-07-28,Includes the North Greenbush Public Library with libraries eligible for the financing of projects through the dormitory authority.,Includes the North Greenbush Public Library with libraries eligible for the financing of projects through the dormitory authority.
NY,A01322,Signed,2023-03-03,Relates to crimes involving the death or serious physical injury of an employee; defines employee; updates the effectiveness of such provisions.,Relates to crimes involving the death or serious physical injury of an employee; defines employee; updates the effectiveness of such provisions.
NY,A01368,Signed,2023-12-22,"Authorizes utility corporations, telegraph and telephone corporations, and cable television corporations to provide notice of bills to third parties at the request of the customer.","Authorizes utility corporations, telegraph and telephone corporations, and cable television corporations to provide notice of bills to third parties at the request of the customer."
NY,A01371,Signed,2023-06-25,Establishes that state agencies or authorities shall implement gender-neutral terminology on state websites.,Establishes that state agencies or authorities shall implement gender-neutral terminology on state websites.
NY,A01395,Signed,2023-05-02,"Provides access to medication abortion prescription drugs at SUNY and CUNY campuses by employing or contracting with individuals authorized to prescribe such drugs, or by providing referrals.","Provides access to medication abortion prescription drugs at SUNY and CUNY campuses by employing or contracting with individuals authorized to prescribe such drugs, or by providing referrals."
NY,A01528,Signed,2023-08-23,Establishes a youth development agriculture technology challenge.,Establishes a youth development agriculture technology challenge.
NY,A01686,Signed,2023-11-17,Requires the division of housing and community renewal to provide an annual report on the New York access to home programs.,Requires the division of housing and community renewal to provide an annual report on the New York access to home programs.
NY,A01696,Signed,2024-10-01,Requires certain insurance policies allow patients additional screenings for breast cancer when the provider deems such screening is necessary under nationally recognized clinical practice guidelines.,Requires certain insurance policies allow patients additional screenings for breast cancer when the provider deems such screening is necessary under nationally recognized clinical practice guidelines.
NY,A01753,Signed,2023-10-25,Permits the electronic execution of a power of attorney for the purpose of transferring a salvage certificate of title and the execution of an odometer and disclosure statement.,Permits the electronic execution of a power of attorney for the purpose of transferring a salvage certificate of title and the execution of an odometer and disclosure statement.
NY,A01909,Signed,2023-11-17,Relates to exempting certain non-profit community gardens from payment for water usage and supply; exempts non-profit community gardens located on property in the city of New York and registered with and licensed by such city's department of parks and recreation from payment for water usage and supply.,Relates to exempting certain non-profit community gardens from payment for water usage and supply; exempts non-profit community gardens located on property in the city of New York and registered with and licensed by such city's department of parks and recreation from payment for water usage and supply.
NY,A01967,Signed,2023-09-22,Requires disclosure of information concerning flood insurance on property condition disclosure statements; relates to liability with respect to property disclosures.,Requires disclosure of information concerning flood insurance on property condition disclosure statements; relates to liability with respect to property disclosures.
NY,A01975,Signed,2023-03-03,Relates to mental health services required to be covered by certain insurance policies; removes the requirement that services from creative arts therapists be covered by certain policies.,Relates to mental health services required to be covered by certain insurance policies; removes the requirement that services from creative arts therapists be covered by certain policies.
NY,A02078,Signed,2024-01-26,Establishes standards for the prompt investigation and settlement of claims arising out of states of emergency and disasters.,Establishes standards for the prompt investigation and settlement of claims arising out of states of emergency and disasters.
NY,A02134,Signed,2023-11-17,"Requires owners and agents of multiple residences and multiple dwellings to provide names and contact information of residents to emergency personnel upon the request of such personnel, where the physical safety of such residents must be accounted for by ascertaining their whereabouts.","Requires owners and agents of multiple residences and multiple dwellings to provide names and contact information of residents to emergency personnel upon the request of such personnel, where the physical safety of such residents must be accounted for by ascertaining their whereabouts."
NY,A02137,Signed,2023-09-15,Increases the total amount of bonds the Buffalo sewer authority may issue from two hundred fifty million to five hundred million dollars.,Increases the total amount of bonds the Buffalo sewer authority may issue from two hundred fifty million to five hundred million dollars.
NY,A02176,Signed,2023-12-22,"Relates to reporting of youth placed in foster care settings and recruitment of foster parents; requires information including the total number of youth placed in foster care, the reasons why such youth were placed and the efforts the state has taken to recruit and retain foster parents; repeals provisions relating to directing the office of children and family services to make information publicly available on the number of youth placed in foster care settings and recruitment of foster parents and the effectiveness thereof.","Relates to reporting of youth placed in foster care settings and recruitment of foster parents; requires information including the total number of youth placed in foster care, the reasons why such youth were placed and the efforts the state has taken to recruit and retain foster parents; repeals provisions relating to directing the office of children and family services to make information publicly available on the number of youth placed in foster care settings and recruitment of foster parents and the effectiveness thereof."
NY,A02188,Signed,2024-09-27,"Relates to the posting of additional nursing home ratings; provides such posting shall include ratings for health inspections, staffing and quality measures.","Relates to the posting of additional nursing home ratings; provides such posting shall include ratings for health inspections, staffing and quality measures."
NY,A02190,Signed,2023-11-17,Provides for the remote witnessing of health care proxies utilizing audio-video technology or telephone.,Provides for the remote witnessing of health care proxies utilizing audio-video technology or telephone.
