UUID,legislative_body,bill_number,status,status_date,title,description,legiscan_url,last_action
US-HB33,US,HB33,Held,2025-01-16,United States-Taiwan Tax Agreement Authorization Act United States-Taiwan Expedited Double-Tax Relief Act,To amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.,https://legiscan.com/US/bill/HB33/2025,Received in the Senate and Read twice and referred to the Committee on Finance.
US-HB34,US,HB34,Introduced,2025-01-03,LASSO Act Land And Social Security Optimization Act,To deposit portions of revenue generated from public lands into the Social Security Trust Fund.,https://legiscan.com/US/bill/HB34/2025,"Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB35,US,HB35,Held,2025-02-13,Agent Raul Gonzalez Officer Safety Act,To impose criminal and immigration penalties for intentionally fleeing a pursuing Federal officer while operating a motor vehicle.,https://legiscan.com/US/bill/HB35/2025,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
US-HB36,US,HB36,Introduced,2025-01-03,"MEGOBARI Act Mobilizing and Enhancing Georgia’s Options for Building Accountability, Resilience, and Independence Act","To counter the influence of the Chinese Communist Party, the Iranian Regime, and the Russian Federation in the nation of Georgia.",https://legiscan.com/US/bill/HB36/2025,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB37,US,HB37,Introduced,2025-01-03,Proposing a Federal debt limit amendment to the Constitution of the United States.,Proposing a Federal debt limit amendment to the Constitution of the United States.,https://legiscan.com/US/bill/HB37/2025,Referred to the House Committee on the Judiciary.
US-HB38,US,HB38,Introduced,2025-01-03,Constitutional Concealed Carry Reciprocity Act,"To amend title 18, United States Code, to provide a means by which nonresidents of a State whose residents may carry concealed firearms may also do so in the State.",https://legiscan.com/US/bill/HB38/2025,Referred to the House Committee on the Judiciary.
US-HB39,US,HB39,Introduced,2025-01-03,Original Honoring Our WWII Merchant Mariners Act of 2025,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to establish the Merchant Mariner Equity Compensation Fund to provide benefits to certain individuals who served in the United States merchant marine (including the Army Transport Service and the Naval Transport Service) during World War II.",https://legiscan.com/US/bill/HB39/2025,Referred to the House Committee on Veterans' Affairs.
US-HB40,US,HB40,Introduced,2025-01-03,Commission to Study and Develop Reparation Proposals for African Americans Act,"To address the fundamental injustice, cruelty, brutality, and inhumanity of slavery in the United States and the 13 American colonies between 1619 and 1865 and to establish a commission to study and consider a national apology and proposal for reparations for the institution of slavery, its subsequent de jure and de facto racial and economic discrimination against African Americans, and the impact of these forces on living African Americans, to make recommendations to the Congress on appropriate remedies, and for other purposes.",https://legiscan.com/US/bill/HB40/2025,Referred to the House Committee on the Judiciary.
US-HB41,US,HB41,Introduced,2025-01-03,Unrecognized Southeast Alaska Native Communities Recognition and Compensation Act,"To provide for the recognition of certain Alaska Native communities and the settlement of certain claims under the Alaska Native Claims Settlement Act, and for other purposes.",https://legiscan.com/US/bill/HB41/2025,Referred to the House Committee on Natural Resources.
US-HB42,US,HB42,Held,2025-02-05,Alaska Native Settlement Trust Eligibility Act,"To amend the Alaska Native Claims Settlement Act to exclude certain payments to aged, blind, or disabled Alaska Natives or descendants of Alaska Natives from being used to determine eligibility for certain programs, and for other purposes.",https://legiscan.com/US/bill/HB42/2025,Received in the Senate.
US-HB43,US,HB43,Held,2025-02-05,Alaska Native Village Municipal Lands Restoration Act of 2025,"To amend the Alaska Native Claims Settlement Act to provide that Village Corporations shall not be required to convey land in trust to the State of Alaska for the establishment of Municipal Corporations, and for other purposes.",https://legiscan.com/US/bill/HB43/2025,Received in the Senate.
US-HB44,US,HB44,Introduced,2025-01-03,Rural 340B Access Act of 2025,To amend title III of the Public Health Service Act to include rural emergency hospitals in the definition of a covered entity for purposes of the 340B drug discount program.,https://legiscan.com/US/bill/HB44/2025,Referred to the House Committee on Energy and Commerce.
US-HB45,US,HB45,Introduced,2025-01-03,FIND Act Firearm Industry Non-Discrimination Act,"To amend title 41, United States Code, to prohibit the Federal Government from entering into contracts with an entity that discriminates against the firearm and ammunition industry, and for other purposes.",https://legiscan.com/US/bill/HB45/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB46,US,HB46,Introduced,2025-01-03,Rural Broadband Window of Opportunity Act,To direct the Federal Communications Commission to prioritize the timely processing of certain long-form applications in the Rural Digital Opportunity Fund Phase II auction.,https://legiscan.com/US/bill/HB46/2025,Referred to the House Committee on Energy and Commerce.
US-HB47,US,HB47,Introduced,2025-01-03,VOICE Restoration Act Victims Of Immigration Crime Engagement Restoration Act,"To establish the Victims of Immigration Crime Engagement Office within the Department of Homeland Security, and for other purposes.",https://legiscan.com/US/bill/HB47/2025,Referred to the House Committee on the Judiciary.
US-HB48,US,HB48,Introduced,2025-01-03,Ultrasound Informed Consent Act,To amend the Public Health Service Act to ensure that women seeking an abortion receive an ultrasound and the opportunity to review the ultrasound before giving informed consent to receive an abortion.,https://legiscan.com/US/bill/HB48/2025,Referred to the House Committee on Energy and Commerce.
US-HB49,US,HB49,Introduced,2025-01-03,No Pro-Abortion Task Force Act,To prohibit the use of Federal funds for the HHS Reproductive Healthcare Access Task Force.,https://legiscan.com/US/bill/HB49/2025,Referred to the House Committee on Energy and Commerce.
US-HB50,US,HB50,Introduced,2025-01-03,KAMALA Act Keeping Aid for Municipalities And Localities Accountable Act,"To prohibit grants provided under section 106 of the Housing and Community Development Act of 1974 from being used to assist persons who are neither a national of the United States nor lawfully admitted for permanent residence, and for other purposes.",https://legiscan.com/US/bill/HB50/2025,Referred to the House Committee on Financial Services.
US-HB51,US,HB51,Introduced,2025-01-03,"Washington, D.C. Admission Act","To provide for the admission of the State of Washington, D.C. into the Union.",https://legiscan.com/US/bill/HB51/2025,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on Rules, Armed Services, the Judiciary, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB52,US,HB52,Introduced,2025-01-03,Stop Woke Investing Act,"To require the Securities and Exchange Commission to amend a rule of the Commission relating to shareholder proposals, and for other purposes.",https://legiscan.com/US/bill/HB52/2025,Referred to the House Committee on Financial Services.
US-HB53,US,HB53,Introduced,2025-01-03,Responsible Borrower Protection Act of 2025,"To cancel certain proposed changes to credit fees charged by the Federal National Mortgage Association and the Federal Home Loan Mortgage Corporation, and for other purposes.",https://legiscan.com/US/bill/HB53/2025,Referred to the House Committee on Financial Services.
US-HB54,US,HB54,Introduced,2025-01-03,WHO Withdrawal Act,"To direct the President to withdraw the United States from the Constitution of the World Health Organization, and for other purposes.",https://legiscan.com/US/bill/HB54/2025,Referred to the House Committee on Foreign Affairs.
US-HB55,US,HB55,Introduced,2025-01-03,To repeal the National Voter Registration Act of 1993.,To repeal the National Voter Registration Act of 1993.,https://legiscan.com/US/bill/HB55/2025,Referred to the House Committee on House Administration.
US-HB56,US,HB56,Introduced,2025-01-03,To transfer certain responsibilities of the United States Secret Service to the Federal Bureau of Investigation.,To transfer certain responsibilities of the United States Secret Service to the Federal Bureau of Investigation.,https://legiscan.com/US/bill/HB56/2025,Referred to the House Committee on the Judiciary.
US-HB57,US,HB57,Introduced,2025-01-03,Ending Catch and Release Act of 2025,"To amend the Immigration and Nationality Act with respect to the parole or release of an asylum applicant, and for other purposes.",https://legiscan.com/US/bill/HB57/2025,Referred to the House Committee on the Judiciary.
US-HB58,US,HB58,Introduced,2025-01-03,Voter Integrity Protection Act,"To amend the Immigration and Nationality Act to make voting in a Federal election by an unlawfully present alien an aggravated felony, and for other purposes.",https://legiscan.com/US/bill/HB58/2025,Referred to the House Committee on the Judiciary.
US-HB59,US,HB59,Introduced,2025-01-03,Mens Rea Reform Act of 2025,"To specify the state of mind required for conviction for criminal offenses that lack an expressly identified state of mind, and for other purposes.",https://legiscan.com/US/bill/HB59/2025,Referred to the House Committee on the Judiciary.
US-HB60,US,HB60,Introduced,2025-01-03,Knife Owners’ Protection Act of 2025,"To protect the right of law-abiding citizens to transport knives interstate, notwithstanding a patchwork of State and local prohibitions that burden citizens.",https://legiscan.com/US/bill/HB60/2025,Referred to the House Committee on the Judiciary.
US-HB61,US,HB61,Introduced,2025-01-03,Ensuring United Families at the Border Act,"To amend the William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 to clarify the standards for family detention, and for other purposes.",https://legiscan.com/US/bill/HB61/2025,Referred to the House Committee on the Judiciary.
US-HB62,US,HB62,Introduced,2025-01-03,WILLIS Act Withholding Investments from Lawless Litigators In States Act,To prohibit Federal funds from being awarded or otherwise made available to the Fulton County District Attorney's Office.,https://legiscan.com/US/bill/HB62/2025,Referred to the House Committee on the Judiciary.
US-HB63,US,HB63,Introduced,2025-01-03,ALVIN Act Accountability for Lawless Violence In our Neighborhoods Act,To prohibit Federal funds from being awarded or otherwise made available to the Manhattan District Attorney's Office.,https://legiscan.com/US/bill/HB63/2025,Referred to the House Committee on the Judiciary.
US-HB64,US,HB64,Introduced,2025-01-03,Grant’s Law,To require the Secretary of Homeland Security to detain any alien who is unlawfully present in the United States and is arrested for certain criminal offenses.,https://legiscan.com/US/bill/HB64/2025,Referred to the House Committee on the Judiciary.
US-HB65,US,HB65,Introduced,2025-01-03,Armed Forces Endangered Species Exemption Act,To amend the Endangered Species Act of 1973 to further restrict the Secretary of the Interior from designating certain lands used for national defense-related purposes as critical habitat for any species under that Act and to broaden exclusions and exemptions from that Act for such defense-related purposes.,https://legiscan.com/US/bill/HB65/2025,Referred to the House Committee on Natural Resources.
US-HB66,US,HB66,Introduced,2025-01-03,Federal Employee Student Debt Transparency Act,"To amend chapter 131 of title 5, United States Code, to require Senior Executive Service and schedule C employees to disclose Federal student loan debt, and for other purposes.",https://legiscan.com/US/bill/HB66/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB67,US,HB67,Introduced,2025-01-03,Modernizing Retrospective Regulatory Review,"To improve retrospective reviews of Federal regulations, and for other purposes.",https://legiscan.com/US/bill/HB67/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB68,US,HB68,Introduced,2025-01-03,"Housing Fairness Act of 2025 Veterans, Women, Families with Children, Race, and Persons with Disabilities Housing Fairness Act of 2025","To authorize funds to prevent housing discrimination through the use of nationwide testing, to increase funds for the Fair Housing Initiatives Program, and for other purposes.",https://legiscan.com/US/bill/HB68/2025,Referred to the House Committee on Financial Services.
US-HB69,US,HB69,Introduced,2025-01-03,Freedom to Petition the Government Act,"To amend title 29, District of Columbia Official Code, to treat meetings held by nonprofit organizations with officials of the Federal Government which are held in the District of Columbia at locations owned or leased by the Federal Government as activities not constituting doing business in the District of Columbia for purposes of determining whether such organizations are required to register with the District of Columbia.",https://legiscan.com/US/bill/HB69/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB70,US,HB70,Introduced,2025-01-03,No SmartPay for Anti-2A Companies Act,"To prohibit the Administrator of General Services from awarding contracts for certain commercial payment systems under the SmartPay Program, and for other purposes.",https://legiscan.com/US/bill/HB70/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB71,US,HB71,Introduced,2025-01-03,Veterans Health Care Freedom Act,To direct the Secretary of Veterans Affairs to carry out a pilot program to improve the ability of veterans to access medical care in medical facilities of the Department of Veterans Affairs and in the community by providing the veterans the ability to choose health care providers.,https://legiscan.com/US/bill/HB71/2025,Referred to the Subcommittee on Health.
US-HB72,US,HB72,Introduced,2025-01-03,TBI and PTSD Treatment Act,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to furnish hyperbaric oxygen therapy to veterans with traumatic brain injury or post-traumatic stress disorder.",https://legiscan.com/US/bill/HB72/2025,Referred to the Subcommittee on Health.
US-HB73,US,HB73,Introduced,2025-01-03,Abortion Is Not Health Care Act of 2025,To amend the Internal Revenue Code of 1986 to provide that amounts paid for an abortion are not taken into account for purposes of the deduction for medical expenses.,https://legiscan.com/US/bill/HB73/2025,Referred to the House Committee on Ways and Means.
US-HB74,US,HB74,Introduced,2025-01-03,Freedom for Families Act,"To amend the Internal Revenue Code of 1986 to allow for tax-advantaged distributions from health savings accounts during family or medical leave, and for other purposes.",https://legiscan.com/US/bill/HB74/2025,Referred to the House Committee on Ways and Means.
US-HB75,US,HB75,Introduced,2025-01-03,HOUSE Act of 2025 Helping Owners with Unaffordable Shoddy Edicts Act of 2025,"To require the Secretary of Housing and Urban Development and the Secretary of Agriculture to withdraw a final determination relating to energy efficiency standards for housing, and for other purposes.",https://legiscan.com/US/bill/HB75/2025,Referred to the Subcommittee on Economic Opportunity.
US-HB76,US,HB76,Introduced,2025-01-03,Fund and Complete the Border Wall Act,"To establish a separate account in the Treasury to hold deposits to be used to secure the southern border of the United States, and for other purposes.",https://legiscan.com/US/bill/HB76/2025,Referred to the Subcommittee on Border Security and Enforcement.
US-HB77,US,HB77,Held,2025-02-13,Midnight Rules Relief Act,"To amend chapter 8 of title 5, United States Code, to provide for en bloc consideration in resolutions of disapproval for ""midnight rules"", and for other purposes.",https://legiscan.com/US/bill/HB77/2025,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
US-HB78,US,HB78,Introduced,2025-01-03,Pregnant Women Health and Safety Act of 2025,"To amend title 18, United States Code, to prohibit certain abortion procedures, and for other purposes.",https://legiscan.com/US/bill/HB78/2025,"Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB79,US,HB79,Introduced,2025-01-03,Freedom from Mandates Act,"To nullify certain Executive orders regarding COVID-19 vaccine mandates and to prohibit the Secretary of Labor from issuing a rule mandating vaccination against COVID-19, and for other purposes.",https://legiscan.com/US/bill/HB79/2025,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on Education and Workforce, Energy and Commerce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB80,US,HB80,Introduced,2025-01-03,Drain the Intelligence Community Swamp Act of 2025,"To revoke the security clearances of certain former members of the intelligence community, and for other purposes.",https://legiscan.com/US/bill/HB80/2025,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on the Judiciary, and Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB81,US,HB81,Introduced,2025-01-03,Travel Mask Mandate Repeal Act of 2025,To prohibit the imposition of mask mandates on public transportation.,https://legiscan.com/US/bill/HB81/2025,Referred to the Subcommittee on Highways and Transit.
US-HB82,US,HB82,Introduced,2025-01-03,Defund National Endowment for the Humanities Act of 2025,To provide that none of the funds made available to the National Endowment for the Humanities for any fiscal year may be used to carry out section 7 of the National Foundation on the Arts and the Humanities Act of 1965.,https://legiscan.com/US/bill/HB82/2025,Referred to the House Committee on Education and Workforce.
US-HB83,US,HB83,Introduced,2025-01-03,Ending Common Core and Expanding School Choice Act,"To amend part A of title I of the Elementary and Secondary Education Act of 1965 to allow States, in accordance with State law, to let Federal funds for the education of disadvantaged children follow low-income children to the public school, charter school, accredited private school, or supplemental educational service program they attend, and for other purposes.",https://legiscan.com/US/bill/HB83/2025,Referred to the House Committee on Education and Workforce.
US-HB84,US,HB84,Introduced,2025-01-03,Native American Education Opportunity Act,"To expand opportunity for Native American children through additional options in education, and for other purposes.",https://legiscan.com/US/bill/HB84/2025,Referred to the House Committee on Education and Workforce.
US-HB85,US,HB85,Introduced,2025-01-03,Small Business Flexibility Act,"To amend the Fair Labor Standards Act of 1938 to allow the pooling of tips among all employees, and for other purposes.",https://legiscan.com/US/bill/HB85/2025,Referred to the House Committee on Education and Workforce.
US-HB86,US,HB86,Introduced,2025-01-03,NOSHA Act Nullify Occupational Safety and Health Administration Act,"To abolish the Occupational Safety and Health Administration, and for other purposes.",https://legiscan.com/US/bill/HB86/2025,Referred to the House Committee on Education and Workforce.
US-HB87,US,HB87,Introduced,2025-01-03,Protecting Our Children from the CDC Act,"To amend the Public Health Service Act to prohibit the Secretary of Health and Human Services from placing any vaccine for COVID-19 on the child and adolescent immunization schedule unless the Secretary has posted on the public website of the Centers for Disease Control and Prevention all clinical data in the possession of the Department of Health and Human Services relating to the safety and efficacy of such vaccine, and for other purposes.",https://legiscan.com/US/bill/HB87/2025,Referred to the House Committee on Energy and Commerce.
US-HB88,US,HB88,Introduced,2025-01-03,Medical Innovation Acceleration Act of 2025,"To amend the Federal Food, Drug, and Cosmetic Act to exempt from regulation as devices non-invasive diagnostic devices, and for other purposes.",https://legiscan.com/US/bill/HB88/2025,Referred to the House Committee on Energy and Commerce.
US-HB89,US,HB89,Introduced,2025-01-03,Prescription Freedom Act of 2025,"To repeal the authority of the Food and Drug Administration to require that drugs be dispensed only upon prescription, and for other purposes.",https://legiscan.com/US/bill/HB89/2025,Referred to the House Committee on Energy and Commerce.
US-HB90,US,HB90,Introduced,2025-01-03,Health Coverage Choice Act,"To amend title XXVII of the Public Health Service Act to provide for a definition of short-term limited duration insurance, and for other purposes.",https://legiscan.com/US/bill/HB90/2025,Referred to the House Committee on Energy and Commerce.
US-HB91,US,HB91,Introduced,2025-01-03,Freedom for Farmers Act of 2025,"To abolish the Agency for Toxic Substances and Disease Registry, and for other purposes.",https://legiscan.com/US/bill/HB91/2025,Referred to the House Committee on Energy and Commerce.
US-HB92,US,HB92,Introduced,2025-01-03,Strategic Production Response and Implementation Act,"To provide for the development of a plan to increase oil and gas production under oil and gas leases of Federal lands under the jurisdiction of the Secretary of Agriculture, the Secretary of Energy, the Secretary of the Interior, and the Secretary of Defense in conjunction with a drawdown of petroleum reserves from the Strategic Petroleum Reserve.",https://legiscan.com/US/bill/HB92/2025,Referred to the House Committee on Energy and Commerce.
US-HB93,US,HB93,Introduced,2025-01-03,Stop Imposing Woke Ideology Abroad Act,"To prohibit funding to the Special Representative for Racial Equity and Justice of the Department of State, and for other purposes.",https://legiscan.com/US/bill/HB93/2025,Referred to the House Committee on Foreign Affairs.
US-HB94,US,HB94,Introduced,2025-01-03,"To terminate the designation of the Islamic Republic of Pakistan as a major non-NATO ally, and for other purposes.","To terminate the designation of the Islamic Republic of Pakistan as a major non-NATO ally, and for other purposes.",https://legiscan.com/US/bill/HB94/2025,Referred to the House Committee on Foreign Affairs.
US-HB95,US,HB95,Introduced,2025-01-03,"One Bill, One Subject Transparency Act","To require that each bill enacted by Congress be limited to only one subject, and for other purposes.",https://legiscan.com/US/bill/HB95/2025,Referred to the House Committee on the Judiciary.
US-HB96,US,HB96,Introduced,2025-01-03,Buzz Off Act,"To prevent agencies from using unmanned aerial vehicles to conduct surveillance of United States citizens, and for other purposes.",https://legiscan.com/US/bill/HB96/2025,Referred to the House Committee on the Judiciary.
US-HB97,US,HB97,Introduced,2025-01-03,Injunctive Authority Clarification Act of 2025,"To amend title 28, United States Code, to prohibit the issuance of national injunctions, and for other purposes.",https://legiscan.com/US/bill/HB97/2025,Referred to the House Committee on the Judiciary.
US-HB98,US,HB98,Introduced,2025-01-03,End Endless Criminal Statutes Act,"To repeal certain unnecessary criminal offenses, and for other purposes.",https://legiscan.com/US/bill/HB98/2025,Referred to the House Committee on the Judiciary.
US-HB99,US,HB99,Introduced,2025-01-03,Protecting Businesses From Frivolous COVID Lawsuits Act of 2025,To require a particular jury instruction in Federal civil actions that include a claim for damages based on negligence arising from the transmission of COVID-19.,https://legiscan.com/US/bill/HB99/2025,Referred to the House Committee on the Judiciary.
US-HB100,US,HB100,Introduced,2025-01-03,Protect the Gig Economy Act of 2025,"To amend Rule 23 of the Federal Rules of Civil Procedure to protect the ""gig economy"" and small businesses that operate in large part through contractor services from the threat of costly class action litigation, and for other purposes.",https://legiscan.com/US/bill/HB100/2025,Referred to the House Committee on the Judiciary.
US-HB101,US,HB101,Introduced,2025-01-03,Judicial Administration and Improvement Act of 2025,"To amend title 28, United States Code, to divide the ninth judicial circuit of the United States into 2 circuits, and for other purposes.",https://legiscan.com/US/bill/HB101/2025,Referred to the House Committee on the Judiciary.
US-HB102,US,HB102,Introduced,2025-01-03,American Sovereignty and Species Protection Act of 2025,"To amend the Endangered Species Act of 1973 to prevent a species that is not native to the United States from being listed as an endangered species or a threatened species, to prohibit certain types of financial assistance, and for other purposes.",https://legiscan.com/US/bill/HB102/2025,Referred to the House Committee on Natural Resources.
US-HB103,US,HB103,Introduced,2025-01-03,Congressional Border Security Assessment Act,"To provide Members of Congress lawful access to certain Indian land to assess the security of the international boundary between the United States and Mexico located on that Indian land, and for other purposes.",https://legiscan.com/US/bill/HB103/2025,Referred to the House Committee on Natural Resources.
US-HB104,US,HB104,Introduced,2025-01-03,Protecting Arizona from Federal Land Grabs Act,"To amend title 54, United States Code, to prohibit the extension or establishment of national monuments in Arizona except by express authorization of Congress, and for other purposes.",https://legiscan.com/US/bill/HB104/2025,Referred to the House Committee on Natural Resources.
US-HB105,US,HB105,Introduced,2025-01-03,Increasing Public Access to Recreation Act,"To amend title 54, United States Code, to increase public access to recreational areas on Federal land.",https://legiscan.com/US/bill/HB105/2025,Referred to the House Committee on Natural Resources.
US-HB106,US,HB106,Introduced,2025-01-03,LIST Act of 2025 Less Imprecision in Species Treatment Act of 2025,"To amend the Endangered Species Act of 1973 to provide for improved precision in the listing, delisting, and downlisting of endangered species and potentially endangered species.",https://legiscan.com/US/bill/HB106/2025,Referred to the House Committee on Natural Resources.
US-HB107,US,HB107,Introduced,2025-01-03,Return to Work Act,"To require Executive agencies to reinstate telework policies that were in place on December 31, 2019, and for other purposes.",https://legiscan.com/US/bill/HB107/2025,Referred to the House Committee on Oversight and Government Reform.
US-HB108,US,HB108,Introduced,2025-01-03,Space Research Innovation Act,"To allow the Administrator of the National Aeronautics and Space Administration to establish a research center for deep space and interplanetary research, and for other purposes.",https://legiscan.com/US/bill/HB108/2025,"Referred to the House Committee on Science, Space, and Technology."
US-HB109,US,HB109,Introduced,2025-01-03,TEAM Veteran Caregivers Act Transparency and Effective Accountability Measures for Veteran Caregivers Act,"To require the Secretary of Veterans Affairs to formally recognize caregivers of veterans, notify veterans and caregivers of clinical determinations relating to eligibility for caregiver programs, and temporarily extend benefits for veterans who are determined ineligible for the family caregiver program, and for other purposes.",https://legiscan.com/US/bill/HB109/2025,Referred to the House Committee on Veterans' Affairs.
US-HB110,US,HB110,Introduced,2025-01-03,Small Business Prosperity Act of 2025,"To amend the Internal Revenue Code of 1986 to expand the deduction for qualified business income, and for other purposes.",https://legiscan.com/US/bill/HB110/2025,Referred to the House Committee on Ways and Means.
US-HB111,US,HB111,Introduced,2025-01-03,To amend the Internal Revenue Code of 1986 to allow an above-the-line deduction for health insurance premiums.,To amend the Internal Revenue Code of 1986 to allow an above-the-line deduction for health insurance premiums.,https://legiscan.com/US/bill/HB111/2025,Referred to the House Committee on Ways and Means.
US-HB112,US,HB112,Introduced,2025-01-03,FUEL Reform Act Farewell to Unnecessary Energy Lifelines Reform Act of 2025,To repeal the Department of Agriculture bioenergy subsidy programs and other related subsidy programs.,https://legiscan.com/US/bill/HB112/2025,"Referred to the Committee on Agriculture, and in addition to the Committees on Oversight and Government Reform, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
US-HB113,US,HB113,Introduced,2025-01-03,Budget Process Enhancement Act,"To remove the discretionary inflater from the baseline and to provide that the salaries of Members of a House of Congress will be held in escrow if that House has not agreed to a concurrent resolution on the budget for fiscal year 2026, and for other purposes.",https://legiscan.com/US/bill/HB113/2025,"Referred to the Committee on the Budget, and in addition to the Committees on House Administration, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
